Open,Close,High,Low,Volume,Date
50200,49900,51800,49900,45,107,400.00,11/14/24
52000,50600,53000,50500,50,647,543.00,11/13/24
54600,53000,54600,53000,32,714,953.00,11/12/24
56700,55000,56800,55000,29,468,632.00,11/11/24
58000,57000,58300,57000,13,432,473.00,11/08/24
56900,57500,58100,56800,16,844,564.00,11/07/24
57600,57300,58000,56300,21,841,341.00,11/06/24
57800,57600,58100,57200,17,235,766.00,11/05/24
58600,58700,59400,58400,15,432,172.00,11/04/24
59000,58300,59600,58100,18,792,726.00,11/01/24
58500,59200,61200,58300,34,788,722.00,10/31/24
59100,59100,59800,58600,19,125,205.00,10/30/24
58000,59600,59600,57300,27,746,650.00,10/29/24
55700,58100,58500,55700,27,429,217.00,10/28/24
56000,55900,56900,55800,25,460,179.00,10/25/24
58200,56600,58500,56600,30,483,365.00,10/24/24
57500,59100,60000,57100,27,035,192.00,10/23/24
58800,57700,58900,57700,26,809,107.00,10/22/24
59000,59000,59600,58500,18,289,857.00,10/21/24
59900,59200,60100,59100,14,110,367.00,10/18/24
59400,59700,60100,59100,22,950,457.00,10/17/24
59400,59500,60000,59200,23,006,277.00,10/16/24
61100,61000,61400,60100,20,599,279.00,10/15/24
59500,60800,61200,59400,20,290,769.00,10/14/24
59100,59300,60100,59000,28,879,303.00,10/11/24
60100,58900,60200,58900,44,534,099.00,10/10/24
60000,60300,61000,59900,26,935,323.00,10/08/24
60200,61000,61900,59500,34,740,440.00,10/07/24
61000,60600,61700,60500,22,944,908.00,10/04/24
60500,61300,61900,59900,28,037,755.00,10/02/24
64200,61500,64300,61500,32,108,818.00,09/30/24
64700,64200,65400,64200,26,609,589.00,09/27/24
63900,64700,64900,63700,36,886,733.00,09/26/24
63800,62200,64200,62200,28,240,647.00,09/25/24
62800,63200,63400,62400,26,086,898.00,09/24/24
62300,62600,63500,62200,28,238,976.00,09/23/24
63800,63000,64700,63000,30,017,898.00,09/20/24
64000,63100,64400,62200,48,506,232.00,09/19/24
65000,64400,65500,64300,24,691,358.00,09/13/24
66000,66300,66600,65200,35,321,326.00,09/12/24
65100,64900,65500,64200,35,500,291.00,09/11/24
67000,66200,67300,66000,30,356,887.00,09/10/24
66900,67500,68200,66600,22,540,522.00,09/09/24
69100,68900,69700,68000,18,639,735.00,09/06/24
70100,69000,71200,69000,25,328,176.00,09/05/24
69800,70000,71100,69800,27,002,274.00,09/04/24
74100,72500,74300,72500,16,043,209.00,09/03/24
74500,74400,74700,73500,12,447,380.00,09/02/24
74400,74300,75000,74100,13,543,679.00,08/30/24
73600,74000,74700,73500,16,746,039.00,08/29/24
75800,76400,76400,75400,9,611,884.00,08/28/24
75700,75800,76500,75600,10,964,410.00,08/27/24
78100,76100,78200,76000,15,541,099.00,08/26/24
77700,77700,78400,77500,9,339,607.00,08/23/24
